TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R,+/-,
HOU,WR,4.6,2.1,13.6,43.87,96,174,55.17,1377,13,3.7,3.6,0,
MIN,WR,5.7,2.7,10.8,38.39,91,142,64.08,1276,4,5,4.4,0.5,
NO,WR,5.7,2.6,9.3,41.29,104,148,70.27,1245,5,4.6,4.1,0.5,
KC,WR,7.2,3.5,11.5,29.58,75,105,71.43,1183,7,6.4,6.1,0.3,
ARI,WR,6,2.6,8.2,22.78,109,161,67.7,1156,6,4.1,4.1,0,
DET,WR,4.3,2.2,15.3,35.8,61,107,57.01,1101,9,3.9,2.7,1.2,
NE,TE,4.6,2.3,11.2,22.33,69,105,65.71,1084,8,6,5.3,0.7,
NE,WR,5.2,2.7,15.1,32.86,65,114,57.02,1082,7,3.9,4.4,-0.4,
CIN,WR,4.9,2.4,13.3,46.31,75,143,52.45,1078,8,4.6,3.8,0.9,
KC,TE,6.1,2.9,9.2,27.6,83,122,68.03,1038,8,5.5,4.7,0.8,
TB,WR,5.3,2.1,14.2,31.78,71,136,52.21,1004,5,2.1,2.3,-0.2,
DET,WR,5.9,2.8,5.7,15.02,92,120,76.67,1003,5,7,5.5,1.5,
SEA,WR,5.7,2.8,12.5,26.82,75,116,64.66,991,8,3.7,3.3,0.4,
MIA,WR,5.7,3.2,6.1,20.7,112,161,69.57,987,9,4.8,4.2,0.5,
IND,WR,6.1,2.5,13.1,38.35,57,109,52.29,966,4,5.4,4,1.4,
SF,WR,6.1,2.2,15.1,32.44,56,105,53.33,962,2,3.9,3.1,0.8,
DEN,WR,5,2.3,10,30.17,83,140,59.29,949,5,3.8,3.7,0.1,
NYJ,WR,6.4,3.4,12.8,38.89,63,114,55.26,941,7,5.1,5,0.1,
PIT,WR,6.1,2.7,9.5,14.14,58,79,73.42,917,7,7.2,5,2.2,
GB,WR,5.6,2.8,9.4,27.93,74,117,63.25,885,10,5,4.2,0.8,
LAR,WR,7.4,3.1,9.3,21.25,62,94,65.96,869,5,6,5,1,
MIN,WR,6.6,2.8,11.5,27.38,64,95,67.37,849,8,4.8,3.6,1.2,
MIA,WR,6.2,2.7,14.6,32.38,58,105,55.24,847,6,3.2,2.9,0.2,
CAR,WR,6.6,2.5,12.9,34.74,63,111,56.76,840,8,4.8,4.3,0.5,
DAL,WR,5.1,2.4,11.8,37.81,69,132,52.27,838,6,4.4,3.1,1.3,
PHI,TE,5.1,2.9,7.8,16.22,74,110,67.27,824,8,3.9,4.1,-0.2,
NYJ,WR,5.6,2.8,8.9,24.24,65,102,63.73,810,5,5.1,4.5,0.6,
TEN,TE,6.6,2.6,9.2,23.89,74,111,66.67,807,3,3.7,3.7,0.1,
TEN,WR,6.8,2.6,11.7,23.68,53,87,60.92,795,4,5.2,4,1.2,
WAS,WR,6.5,3.2,7.4,18.15,66,103,64.08,789,3,5.8,5.7,0.1,
PHI,WR,5.1,1.8,14.5,33.07,57,120,47.5,789,9,3.9,2.9,1,
NO,WR,6.9,3.5,12,25.11,53,70,75.71,787,4,5.7,5.4,0.3,
LAR,WR,6.5,3,10.8,22.34,56,85,65.88,781,5,5.5,5.2,0.2,
PHI,WR,5.8,3,10.2,18.38,62,95,65.26,768,8,5.3,4.1,1.2,
BAL,WR,6.2,2.6,13,32.26,52,92,56.52,748,4,3.6,3.7,-0.1,
JAX,WR,6,2.5,12.7,26.28,42,83,50.6,748,3,7.5,5.7,1.8,
NYG,WR,5.2,2.4,8.8,16.92,59,84,70.24,731,2,5.5,3.5,2,
LAC,WR,5.9,3.1,13.5,19.56,43,69,62.32,728,4,8.2,6.7,1.4,
NYG,TE,5.9,2.6,8.6,22.58,64,115,55.65,722,6,5,4.5,0.5,
SEA,WR,5.9,2.4,15.1,22.29,44,80,55,703,6,3.3,2.8,0.5,
ATL,WR,5.1,2.7,7.6,15.79,67,96,69.79,703,5,4.1,3.6,0.4,
JAX,WR,5.8,2.7,10.9,26.12,56,96,58.33,702,3,5.4,4.5,0.8,
BUF,WR,5.5,2,11.5,21.79,48,78,61.54,692,3,3.3,2.8,0.4,
IND,TE,5.2,3.4,4.9,14.13,80,108,74.07,690,4,4.5,4.7,-0.2,
LV,TE,5,2.8,9,17.1,54,86,62.79,688,2,4.5,4.4,0,
LV,WR,4.5,2.6,11.3,24.02,48,96,50,680,7,6.6,5.6,1,
MIA,WR,5.2,2.3,12.3,24.87,57,96,59.38,670,1,4,3.5,0.5,
TB,WR,7.2,2.7,15.8,23.41,50,90,55.56,668,3,4,4.3,-0.4,
NE,WR,5.8,2.9,8,13.15,61,86,70.93,659,2,3.7,4.1,-0.5,
GB,WR,6,3.7,5.8,13.39,66,92,71.74,653,4,6.7,5.9,0.8,
WAS,TE,5.7,3.3,10.6,17.35,43,69,62.32,648,3,7.4,6.1,1.3,
TB,WR,6.9,3.4,6.6,8.98,61,83,73.49,631,1,5,4.9,0.2,
LV,WR,5,2.2,10.7,23.9,58,101,57.43,618,8,3.5,3,0.5,
CHI,WR,6.9,3,7.6,19.79,59,91,64.84,614,1,3.7,4,-0.3,
PIT,WR,6.6,3.1,14,22.06,50,84,59.52,603,3,4,3.9,0.1,
LAR,WR,4.8,2.5,14.4,24.67,39,70,55.71,593,8,5.2,4.5,0.7,
TB,TE,5.6,2.7,9.3,11.87,48,77,62.34,591,6,3.7,3.7,0,
LAC,TE,5.5,3,9.3,12.12,45,62,72.58,579,4,4.9,4.2,0.7,
DET,TE,6.3,3.3,7.6,14.39,53,86,61.63,574,4,5.1,4.4,0.7,
WAS,WR,7,2.9,9.8,15.08,45,65,69.23,573,4,5.3,4.6,0.8,
DAL,WR,6.3,3.1,9.1,17.21,53,78,67.95,568,0,4.4,5.3,-0.9,
LAC,WR,7.3,3.5,15.3,20.87,34,65,52.31,567,4,6.2,5.4,0.8,
TEN,WR,6,2.6,9.7,18.77,54,83,65.06,563,1,2.6,3.2,-0.5,
DAL,TE,4.8,2.5,7.4,15.67,63,87,72.41,560,5,1.8,2.2,-0.4,
BUF,TE,5.7,3.1,6.7,12.33,49,74,66.22,558,2,5.8,5.3,0.4,
BUF,WR,5.8,2.5,15.1,25.8,38,69,55.07,557,2,3,3.4,-0.5,
SEA,WR,7,2.9,12.7,16.65,45,71,63.38,555,2,4.3,4.1,0.2,
DEN,WR,5.5,2.4,10.6,21.06,47,92,51.09,555,2,4,3.1,0.9,
KC,WR,6.7,4.1,5.7,8.74,42,62,67.74,554,3,8,7.1,0.9,
CIN,WR,6.3,2.7,8.4,18.19,52,89,58.43,548,3,5.1,4.7,0.4,
MIN,TE,4.9,3,7.5,15.2,57,81,70.37,532,8,4.2,4.2,0,
ATL,TE,5.2,3.7,6.3,8.76,49,65,75.38,526,3,5.7,5,0.7,
TB,WR,6.5,2.2,12.3,11.19,34,55,61.82,525,1,5.5,3.1,2.4,
BAL,TE,5.9,3.3,5.1,10.79,61,79,77.22,522,4,4.6,4.9,-0.3,
SEA,TE,5.8,2.5,8,14.13,57,96,59.38,520,10,4,3.6,0.4,
SF,TE,5.1,3,7.1,9.13,43,63,68.25,515,2,6.6,5.2,1.5,
ARI,WR,6.3,2.3,18.1,19.18,29,61,47.54,508,2,2.4,2.9,-0.5,
WAS,WR,5,2.2,14.2,26.38,35,78,44.87,502,6,4,3.4,0.6,
SF,WR,6.2,2.7,9.6,13.1,40,67,59.7,500,0,4.8,4.4,0.4,
JAX,WR,5.6,2.5,9.8,13.66,39,56,69.64,484,2,4.9,4.6,0.2,
GB,WR,6,2.7,10.8,24.07,53,88,60.23,482,6,2.5,3,-0.5,
ARI,WR,6.6,2.4,15.3,18.32,31,69,44.93,477,4,3.3,3.3,0,
DET,WR,5.7,2.2,14.8,15.53,28,48,58.33,477,3,7,5.4,1.6,
LV,WR,5.5,2.7,9.4,13.63,43,65,66.15,455,1,2.9,3.1,-0.2,
BAL,WR,5.7,2.3,9.6,18.6,40,72,55.56,440,3,3.1,3,0,
NE,WR,5.9,2.7,13.2,14.81,34,59,57.63,439,5,5.3,5.8,-0.4,
CAR,TE,5.8,3.9,9.6,11.21,30,48,62.5,437,1,7.1,6.3,0.7,
PHI,WR,7.4,2.3,12.7,16.36,36,68,52.94,430,2,3.8,4.2,-0.4,
SF,WR,6.2,2.7,6.4,7.8,43,60,71.67,430,2,4.9,4.8,0.1,
HOU,WR,5.7,2.7,15.6,14.48,28,50,56,423,7,3.9,4.3,-0.4,
NYG,WR,5.8,2.1,10.4,17.16,36,72,50,416,2,2.4,2.4,0,
CIN,TE,5.4,2.9,7.8,11.82,42,62,67.74,404,7,4.9,4,0.9,
DET,WR,5.8,2.8,11,11.84,30,49,61.22,399,1,2.8,2.5,0.3,
CLE,TE,5.6,2.9,8.7,9.44,33,58,56.9,395,1,5.3,5.5,-0.2,
IND,WR,5.6,2.2,14.1,17.79,26,47,55.32,391,2,3.2,3.1,0.1,
MIA,TE,4.7,3.2,7.5,9.76,41,62,66.13,388,3,4,4.6,-0.6,
CLE,TE,5,2.6,9.7,10.88,32,60,53.33,386,4,5.3,3.9,1.3,
ATL,WR,7.3,3,10,10.96,33,51,64.71,378,1,6.9,5.8,1,
CHI,WR,6.2,2.8,13,17.22,24,46,52.17,376,1,5,4.1,0.9,
TEN,WR,6.1,2.7,11.4,17.28,34,65,52.31,375,0,3.2,3.2,0,
PIT,TE,6.1,3.3,6.8,8.08,43,63,68.25,372,3,4.6,4.4,0.2,
CLE,WR,6.5,2.4,13.8,15.66,27,61,44.26,357,0,3.6,4,-0.4,
NYJ,TE,5.9,2.9,6.5,12.75,50,74,67.57,357,3,2.7,3.3,-0.6,
DEN,WR,6,2.5,10.5,12.62,29,56,51.79,350,3,4,3.1,0.9,
CHI,WR,6.3,2,13.1,16.56,25,44,56.82,344,1,1.9,2.3,-0.5,
HOU,TE,5,2.3,9.8,9.48,25,52,48.08,342,1,4.3,4.7,-0.4,
JAX,WR,6.2,3,11.1,14.08,27,51,52.94,339,1,4.4,3.8,0.5,
HOU,WR,6.7,2.9,9.8,10.35,29,57,50.88,330,2,4.5,4.8,-0.3,
ARI,TE,6.2,2.9,5.9,4.74,33,46,71.74,322,2,4.7,4,0.8,
JAX,TE,4.9,3.3,8.4,10.04,24,48,50,318,5,7.1,6.8,0.3,
BUF,WR,5.3,2.7,13,23.83,27,74,36.49,316,2,2.9,2.9,0,
LAC,TE,4.7,2.6,8.6,9.36,30,52,57.69,316,3,3.2,3,0.2,
DAL,WR,6.3,2.4,7.7,11.72,36,63,57.14,314,4,3.4,3.3,0.1,
CLE,WR,4.8,3,9.7,9.05,27,50,54,312,2,5.3,4.1,1.2,
CLE,WR,5.3,2.3,14.7,15.86,23,58,39.66,305,2,1.4,2.2,-0.8,
ARI,WR,5.7,2.4,15.7,14.93,21,55,38.18,299,3,3,3.2,-0.2,
LAR,TE,6.2,2.6,10,10.96,25,45,55.56,295,1,3.6,2.5,1.1,
NE,TE,5.9,3.1,5.5,6.07,30,44,68.18,286,0,6,4.6,1.5,
SF,WR,6.9,2.7,12.2,12,19,48,39.58,260,2,2.2,2.6,-0.4,
NE,WR,5.7,2.3,12.1,9.73,20,43,46.51,256,2,4.2,2.9,1.3,
IND,WR,5,2.1,10.1,11.92,15,44,34.09,133,0,3.2,3.6,-0.3,
IND,WR,5.7,2.6,13.3,39.32,91,155,58.71,1448,6,3.6,4.4,-0.9,
ATL,WR,5,2.2,14.5,38.78,83,129,64.34,1409,6,4.8,5.2,-0.3,
NYG,WR,5.2,2.8,11.4,39.16,101,169,59.76,1367,10,5.2,4.6,0.6,
TB,WR,5.8,2.2,15.5,44.01,96,173,55.49,1321,12,1.9,2.4,-0.5,
PIT,WR,5,2.9,11.1,30.44,106,154,68.83,1284,12,3.8,4.6,-0.7,
GB,WR,5.8,2.7,13,34.56,97,152,63.82,1257,14,3.7,3.6,0.1,
NO,WR,7.1,2.8,13.4,30.87,78,117,66.67,1173,8,4.6,4.1,0.5,
LV,WR,4.6,2.6,10.1,27,83,132,62.88,1153,5,5.5,5.4,0.1,
NO,WR,4.8,2.4,8.4,20.03,92,121,76.03,1137,9,5,4.6,0.3,
MIA,WR,5.8,2.9,6.5,21.64,94,131,71.76,1136,4,6.5,4.8,1.8,
SEA,WR,6.6,3.1,9.4,22.93,94,125,75.2,1128,7,4.9,5.1,-0.2,
KC,TE,5.9,3,7,20.8,85,117,72.65,1125,4,7.8,6.6,1.2,
NE,WR,6.4,2.7,9.5,33.83,98,159,61.64,1106,3,4.9,4.7,0.2,
DEN,WR,4.7,2.1,11.1,29.56,90,144,62.5,1083,5,3.4,3.5,-0.1,
DET,WR,5.5,2.7,8.4,23.96,91,135,67.41,1077,4,6.6,5.7,0.9,
CAR,TE,5.5,2.8,11.5,24.32,80,129,62.02,1073,3,4.3,5.1,-0.8,
LAC,WR,5.7,2.5,12.2,28.34,69,119,57.98,1059,7,6.7,7.4,-0.7,
WAS,WR,5.1,2.7,10.9,21.67,79,114,69.3,1041,3,4.3,4.1,0.2,
DEN,WR,5.8,2.6,13.3,33.75,79,137,57.66,1032,5,3,3.4,-0.4,
ARI,WR,6.5,2.4,8,18.06,107,150,71.33,1023,6,3.4,3.6,-0.2,
BAL,WR,5.8,2.7,12.5,27.64,72,116,62.07,1017,4,5.8,5.2,0.6,
CLE,WR,5.6,2.8,14.7,40.1,77,140,55,1007,4,2.4,3.3,-1,
WAS,WR,7.3,2.9,16,28.09,56,100,56,1005,4,4.9,5.1,-0.2,
LV,WR,6,2.3,11.6,33.82,89,145,61.38,1003,8,2.9,2.9,-0.1,
LAR,WR,4.9,2.3,12.7,33.05,68,111,61.26,1002,5,4.1,4.2,0,
GB,WR,4.6,2.9,12.3,26.03,75,121,61.98,997,12,5.4,5.3,0.1,
MIN,WR,5.3,2.8,11,24.71,69,92,75,967,5,4.4,5.1,-0.8,
CIN,WR,4.8,2.5,13.4,27.83,66,100,66,964,4,4,4.8,-0.8,
HOU,WR,4.3,2.3,12.7,35.17,78,151,51.66,954,4,3,2.7,0.3,
TEN,WR,7.1,2.2,13.5,29.93,65,108,60.19,945,9,3.9,4,-0.1,
CAR,WR,5.7,1.8,12.7,24.7,63,118,53.39,941,7,3.5,3.8,-0.3,
DET,WR,3.8,2,14.7,31.96,55,103,53.4,930,4,4.3,3.8,0.5,
SEA,TE,5.8,2.7,10.2,18.97,65,95,68.42,923,6,4.9,5.4,-0.4,
MIN,WR,5.5,2.8,9.1,24.84,84,112,75,896,3,3.5,3.8,-0.3,
NO,WR,6.2,3.1,7.4,15.13,72,104,69.23,895,4,5.5,5.9,-0.4,
CHI,WR,5.7,2.4,10.4,19.15,66,97,68.04,888,4,4.3,3.7,0.7,
JAX,WR,4.6,1.9,14.1,38.96,73,151,48.34,883,6,2.8,3.9,-1.1,
CIN,WR,5.7,2.7,10.9,24.33,64,107,59.81,862,6,5.2,4.9,0.2,
NYJ,WR,6.5,2.4,9.7,19.33,58,105,55.24,857,4,6.2,5.8,0.4,
JAX,WR,6.3,2.6,11.9,22.8,63,105,60,851,3,5.5,5.4,0.1,
WAS,WR,6.7,3.6,8.7,15.01,67,99,67.68,847,7,5.6,5.7,-0.1,
MIN,TE,6.3,2.9,7.3,23.43,83,132,62.88,840,7,4.4,5.3,-0.9,
DAL,WR,6.7,3.4,6.8,15.97,75,98,76.53,833,5,5,5.2,-0.2,
CHI,WR,4.9,2.2,14.1,25.16,52,94,55.32,821,2,3.7,3.5,0.2,
PHI,TE,6.3,3.2,8.4,18.38,78,106,73.58,816,4,3.4,4,-0.6,
LAC,WR,6.2,2.8,11.4,21.63,58,97,59.79,810,4,3.7,4.5,-0.8,
PHI,WR,5.4,2.8,10.7,25.82,73,117,62.39,804,3,3.2,4.5,-1.3,
TEN,TE,6.4,2.9,10.1,21.08,65,102,63.73,800,7,4,4.1,-0.1,
BAL,WR,6.5,2.7,9.1,17.49,70,101,69.31,799,5,3.8,3.2,0.7,
DAL,WR,5.2,1.8,15.5,35.41,50,96,52.08,796,8,2.7,3.5,-0.8,
NYJ,WR,4.4,2.2,13.6,33.23,59,128,46.09,788,3,3,4.7,-1.8,
CAR,WR,6.8,3,13.4,20.93,54,95,56.84,752,4,3.4,4.1,-0.6,
MIA,WR,4.9,2.3,12.5,27.76,56,87,64.37,744,4,4.3,4.4,-0.1,
BAL,TE,5.7,2.9,6.4,14.81,86,121,71.07,729,2,3.5,4.1,-0.6,
MIA,WR,6.5,2.5,15.3,31.58,42,81,51.85,726,9,4.2,4,0.2,
DET,TE,5.8,2.6,8.4,15.17,61,85,71.76,711,1,4.2,4.7,-0.5,
NE,TE,6.2,3.8,6,9.79,55,73,75.34,701,7,7.6,6.6,1.1,
WAS,TE,5.6,3.3,8.2,12.8,66,89,74.16,686,6,3.8,4,-0.2,
NYG,WR,5.3,2.7,9.3,19.99,65,105,61.9,683,8,4.2,4.8,-0.6,
NE,WR,5.2,3.2,13.7,17.78,38,58,65.52,680,4,6.7,5.9,0.8,
LAC,WR,7.6,3,13.3,19.54,47,75,62.67,677,4,5.7,5,0.7,
DAL,TE,5.6,3,6.9,15.69,69,95,72.63,673,3,3.4,3.7,-0.3,
SF,WR,6.5,3.1,9.2,24.8,64,115,55.65,667,3,3.2,4.8,-1.7,
TB,TE,5.3,2.5,10.2,13.55,57,81,70.37,660,8,2.6,3.4,-0.8,
ATL,WR,5.7,2.9,8.6,14.5,59,81,72.84,653,4,4.9,5.7,-0.8,
NO,TE,5.4,2.5,9.9,15.81,50,81,61.73,631,3,4.1,4.8,-0.7,
HOU,WR,6,2.5,16.3,27.55,47,92,51.09,630,2,4.4,3.8,0.6,
TB,WR,6.5,3.4,5.7,7.79,55,83,66.27,622,2,7.2,6.4,0.8,
BUF,WR,6.2,3.5,11.2,18.05,51,76,67.11,613,1,2.7,3.6,-0.9,
CLE,TE,5.2,2.7,7.7,12.26,55,82,67.07,612,2,3.7,4.4,-0.7,
GB,WR,5.4,3.4,7.5,10.94,60,84,71.43,610,4,5.8,5.2,0.6,
CIN,WR,5.7,2.8,9.3,15.62,54,81,66.67,603,1,3.8,4.8,-1,
KC,WR,7.8,3.5,7.9,16.71,61,83,73.49,599,6,4.7,5.3,-0.7,
SEA,WR,6.8,3.4,10.8,13.85,41,66,62.12,597,1,5.3,5.6,-0.2,
DAL,WR,6.2,2.7,12.3,17.93,44,61,72.13,594,4,3.5,3.9,-0.3,
PIT,WR,5.7,3,9.7,11.42,48,66,72.73,594,3,4.5,6.4,-1.9,
NYJ,WR,5.8,2.7,17,25.33,42,78,53.85,587,2,2.6,3.2,-0.7,
NYG,WR,5.9,2.3,12.1,17.73,39,72,54.17,586,1,5,4.4,0.7,
IND,TE,5.3,3.3,6.8,9.78,59,75,78.67,584,5,4.1,4.8,-0.6,
DET,WR,5.2,2.4,6.7,13.52,67,95,70.53,584,8,3.1,3.5,-0.3,
WAS,TE,6.3,3.2,9.7,10.05,44,59,74.58,581,2,5.2,5.9,-0.6,
ATL,WR,7.1,3.2,11.2,11.64,35,50,70,579,6,7.9,6.4,1.5,
ARI,WR,5.9,2.9,18.3,20.38,34,74,45.95,568,6,4.8,3.6,1.2,
LAR,WR,6.5,2.2,12.3,22.14,41,77,53.25,564,3,4,2.9,1.1,
HOU,TE,5.4,2.3,7.3,11.97,54,89,60.67,559,4,3.8,4,-0.2,
BUF,TE,5.9,3,8.4,15.51,57,87,65.52,552,4,3.3,4.2,-0.9,
LAC,TE,6,2.8,8.8,15.99,53,93,56.99,548,7,3.6,4,-0.4,
KC,WR,6.1,2.4,11.5,22.3,44,76,57.89,536,2,3.1,4.1,-1,
KC,WR,7.1,2.9,10.6,18.68,44,69,63.77,530,0,3,4,-1,
IND,WR,7.1,2.9,13.8,15.61,33,59,55.93,528,2,4.3,4.7,-0.3,
TEN,WR,6.4,2.1,13.8,23.42,41,83,49.4,522,2,2.1,2.5,-0.4,
ARI,WR,6,3,14.8,16.26,39,73,53.42,517,2,2.5,3,-0.4,
SEA,WR,5.6,2.4,13.2,22.99,41,89,46.07,510,1,3.3,4.2,-0.9,
LAR,WR,7,3.2,7.5,18.75,58,106,54.72,509,3,4.6,4.7,-0.2,
BAL,WR,5.7,2.4,14.9,18.67,33,66,50,499,3,5.2,4.6,0.6,
LAR,TE,5.5,2.6,5.4,10.98,50,87,57.47,499,2,5.2,5.1,0.1,
NE,WR,5.8,2.4,15.6,17.82,37,76,48.68,488,5,1.7,3.2,-1.5,
CHI,TE,5.3,2.9,6.8,8.24,47,64,73.44,486,4,4.7,4.4,0.2,
LAC,TE,4.8,2.8,9.5,9.88,36,53,67.92,478,8,5.6,4.6,1,
JAX,WR,6.5,2.5,10.8,14.98,35,76,46.05,477,3,6,6.2,-0.2,
MIN,WR,7.5,3.2,5.6,9.53,52,70,74.29,453,2,6.3,5.6,0.7,
HOU,TE,5.1,3,7.2,9.71,50,74,67.57,442,2,3,4,-1,
PIT,WR,6.8,2.5,22,19.28,21,49,42.86,435,2,5.7,6.3,-0.5,
BUF,WR,5.6,2.5,15.1,16.64,28,52,53.85,430,2,1.1,3,-1.9,
TEN,WR,6.1,2.9,10.7,9.41,29,43,67.44,416,3,4.3,4.3,0,
BUF,WR,6.5,2.8,15.8,22.87,29,68,42.65,413,3,2.3,2.3,0.1,
CLE,WR,5.6,2.8,15.2,21.65,33,73,45.21,413,3,2.8,3.2,-0.4,
SF,WR,6.4,3.2,9.9,14.68,37,63,58.73,408,0,5.4,5.6,-0.2,
IND,TE,5.2,3,9.4,9.35,35,52,67.31,406,6,3.4,4.3,-0.9,
NE,WR,5.2,2.6,11.1,11.97,32,48,66.67,401,4,5.1,4,1.1,
LV,WR,4.7,2.5,9.3,14.5,38,77,49.35,397,5,5.3,4.6,0.7,
NYG,TE,6,3.1,6.3,9.02,48,70,68.57,395,1,3.9,4.7,-0.8,
CIN,TE,5.4,2.6,9.2,8.99,29,47,61.7,394,5,5.1,5.8,-0.7,
PHI,WR,6.1,2.6,10.7,16.33,36,74,48.65,392,2,4,4.5,-0.5,
SF,TE,5.6,2.5,10.5,11.14,24,45,53.33,391,4,8.7,6.5,2.3,
ARI,TE,5.5,3,8.2,7.52,37,61,60.66,391,2,3.8,3.5,0.3,
GB,TE,4.9,2.9,10.6,9.43,30,51,58.82,377,1,4.9,5.8,-0.9,
CAR,WR,6.2,2,14.9,14.24,23,58,39.66,371,4,4.4,3.7,0.7,
CHI,WR,6,3.4,6.3,5.11,33,43,76.74,369,2,5.8,4.8,1,
PHI,WR,6.2,2.3,11.4,16.26,36,69,52.17,365,2,3,3.3,-0.3,
LV,TE,5,3.6,9.1,9.55,33,52,63.46,359,3,4,5.3,-1.3,
SF,TE,4.9,2.6,9.6,11.27,29,50,58,350,3,4.2,4.3,-0.1,
PIT,TE,5.3,3.5,7.1,7.57,39,60,65,338,3,3.4,4,-0.6,
BAL,WR,5.2,3.4,12.1,11.54,29,50,58,328,1,3.5,4.7,-1.1,
PHI,TE,5.8,3.2,7.8,9.6,37,60,61.67,327,1,3.5,4,-0.5,
CLE,WR,5.1,3,8.6,9.04,33,54,61.11,324,3,3.9,3.6,0.3,
IND,WR,5.7,2.4,11.1,11.85,30,56,53.57,307,7,2.5,2.7,-0.1,
JAX,TE,5.9,2.8,7.5,7,30,51,58.82,281,4,3.4,5,-1.6,
KC,WR,7.2,3.5,7.7,10.08,31,51,60.78,279,2,5.2,5.2,0,
GB,TE,7.6,2.7,8.4,6.88,30,47,63.83,271,2,3.3,3.3,0.1,
CAR,WR,6.2,3.2,10.1,8.8,27,53,50.94,271,1,4.3,5.1,-0.9,
SF,WR,6.3,2.3,13.8,15.94,20,49,40.82,267,3,2.8,3.8,-1,
